"SubscriptionId","SubscriptionName","ResourceGroup","ResourceId","GitRemoteName","GitRemoteUri","GitRemoteUsername","GitRemotePassword","AzureStorageAccounts","AzureStoragePath","State","Hostnames","Repository","UsageState","Enabled","EnabledHostNames","AvailablityState","HostNameSslStates","ServerFarmId","Reserved","IsXenon","HyperV","LastModifiedTimeUtc","SiteConfig","TrafficManagerHostNames","ScmSiteAlsoStopped","TargetSwapSlot","HostingEnvironmentProfile","ClientAffinityEnabled","ClientEnabled","ClientCertMode","ClientCertExclusionPaths","HostNamesDisabled","CustomDomainVerificationId","OutboundIpAddresses","PossibleOutboundIpAddresses","ContainerSize","DailyMemoryTimeQuota","SuspendedTill","MaxNumberOfWorkers","CloningInfo","IsDefaultContainer","DefaultHostName","SlotSwapStatus","HttpsOnly","RedundancyMode","InProgressOperationId","StorageAccountRequired","KeyVaultReferenceIdentity","VirtualNetworkSubnetId","Identity","ExtendedLocation","Id","Name","Kind","Location","Type","Owner","Cost Center","Environment"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","appsapidevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001",,,,,,,"Running","","appsapi-poc-fna-002","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001/providers/Microsoft.Web/serverfarms/ASP-appsapidevrgp001-a298","False","False",,"5/18/2022 10:19:04 PM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"True","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","23.96.208.191,23.96.208.207,23.96.208.221,23.96.208.27","23.96.208.191,23.96.208.207,23.96.208.221,23.96.208.27,52.237.147.12,65.52.29.62,65.52.234.69,52.252.143.58,52.252.143.74,23.96.209.155,52.162.107.22","1536","0",,,,,"appsapi-poc-fna-002.azurewebsites.net",,"False",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001/providers/Microsoft.Web/sites/appsapi-poc-fna-002","appsapi-poc-fna-002","functionapp","North Central US","Microsoft.Web/sites","IT Business Solutions","100.0000.99010.4310","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","appsapidevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001",,,,,,,"Running","","appsapi-poc-fna-001","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001/providers/Microsoft.Web/serverfarms/ASP-appsapidevrgp001-a15b","False","False",,"5/18/2022 10:19:04 PM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"True","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","23.96.208.191,23.96.208.207,23.96.208.221,23.96.208.27","23.96.208.191,23.96.208.207,23.96.208.221,23.96.208.27,52.237.147.12,65.52.29.62,65.52.234.69,52.252.143.58,52.252.143.74,23.96.209.155,52.162.107.22","1536","0",,,,,"appsapi-poc-fna-001.azurewebsites.net",,"False",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/appsapidevrgp001/providers/Microsoft.Web/sites/appsapi-poc-fna-001","appsapi-poc-fna-001","functionapp","North Central US","Microsoft.Web/sites","IT Business Solutions","100.0000.99010.4310","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","cxevhdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001",,,,,,,"Running","","cxevhdevfnc001","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/serverfarms/cxevhdevasp001","False","False",,"11/1/2022 6:43:47 AM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36,65.52.16.103,65.52.16.26,65.52.20.91","1536","0",,,,,"cxevhdevfnc001.azurewebsites.net",,"False",,,,,,"Microsoft.Azure.Management.WebSites.Models.ManagedServiceIdentity",,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/sites/cxevhdevfnc001","cxevhdevfnc001","functionapp","North Central US","Microsoft.Web/sites","TIM DevOps Group","100.0000.99010.4335","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","cxevhdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001",,,,,,,"Stopped","","cxruldevfap001","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/serverfarms/cxevhdevasp001","False","False",,"10/4/2022 3:55:30 PM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36,65.52.16.103,65.52.16.26,65.52.20.91","1536","0",,,,,"cxruldevfap001.azurewebsites.net",,"False",,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/netwkdevrgp002/providers/Microsoft.Network/virtualNetworks/coredevvnet001/subnets/CXEVH_AppSrv","Microsoft.Azure.Management.WebSites.Models.ManagedServiceIdentity",,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/sites/cxruldevfap001","cxruldevfap001","functionapp","North Central US","Microsoft.Web/sites","TIM DevOps Group","100.0000.99010.4335","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","cxevhdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001",,,,,,,"Running","","cxevhtsstfnc001","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/serverfarms/cxevhdevasp001","False","False",,"10/31/2022 1:46:28 PM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36","52.162.107.2,65.52.11.167,65.52.17.191,65.52.14.86,65.52.20.36,65.52.16.103,65.52.16.26,65.52.20.91","1536","0",,,,,"cxevhtsstfnc001.azurewebsites.net",,"False",,,,,,"Microsoft.Azure.Management.WebSites.Models.ManagedServiceIdentity",,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/cxevhdevrgp001/providers/Microsoft.Web/sites/cxevhtsstfnc001","cxevhtsstfnc001","functionapp","North Central US","Microsoft.Web/sites","TIM DevOps Group","100.0000.99010.4335","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","demodevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/demodevrgp001",,,,,,,"Running","","devops-test-fna-dev","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/demodevrgp001/providers/Microsoft.Web/serverfarms/demodevasp02","True","False",,"5/26/2022 8:31:44 AM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.162.120.167,52.162.122.37,23.96.230.196,52.162.120.74,52.237.146.141,23.96.238.153,52.162.107.11","52.162.120.167,52.162.122.37,23.96.230.196,52.162.120.74,52.237.146.141,23.96.238.153,52.162.121.21,52.237.147.14,65.52.238.183,52.237.147.28,52.162.121.68,52.162.121.138,65.52.215.152,65.52.216.151,65.52.220.242,65.52.216.72,168.62.245.214,23.96.179.53,20.80.19.83,20.80.19.160,20.80.19.197,20.80.19.207,20.80.19.213,20.80.19.245,52.162.107.11","1536","0",,,,,"devops-test-fna-dev.azurewebsites.net",,"True",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/demodevrgp001/providers/Microsoft.Web/sites/devops-test-fna-dev","devops-test-fna-dev","functionapp,linux","North Central US","Microsoft.Web/sites","Shared Service","100.0000.99010.4330","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","scmdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001",,,,,,,"Running","","ebsevent-publisher","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/serverfarms/ASP-scmdevrgp001-840b","False","False",,"10/28/2022 7:13:03 PM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","13.86.38.119,13.89.106.62,40.89.243.166,52.143.244.58,52.154.168.87,52.154.169.9,20.40.202.5","13.86.38.119,13.89.106.62,40.89.243.166,52.143.244.58,52.154.168.87,52.154.169.9,52.154.169.57,52.154.169.86,52.154.169.106,52.154.169.204,52.154.170.25,52.154.170.83,52.154.170.158,52.154.171.81,52.154.171.88,52.154.173.21,40.89.244.137,52.154.173.79,52.154.173.101,52.154.173.180,52.154.174.243,52.154.175.58,52.154.240.147,52.154.240.170,52.154.241.97,52.154.241.132,52.154.241.246,52.154.43.251,52.154.44.21,52.154.44.95,20.40.202.5","1536","0",,,,,"ebsevent-publisher.azurewebsites.net",,"True",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/sites/ebsevent-publisher","ebsevent-publisher","functionapp","Central US","Microsoft.Web/sites","IT BSG SCM ","100.0000.99010.4310","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","scmdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001",,,,,,,"Running","","RamFunctionAppExample","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/serverfarms/ASP-RamFunctionAppExample-903c","False","False",,"6/24/2022 7:12:39 AM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","13.86.38.119,13.89.106.62,40.89.243.166,52.143.244.58,52.154.168.87,52.154.169.9,20.40.202.5","13.86.38.119,13.89.106.62,40.89.243.166,52.143.244.58,52.154.168.87,52.154.169.9,52.154.169.57,52.154.169.86,52.154.169.106,52.154.169.204,52.154.170.25,52.154.170.83,52.154.170.158,52.154.171.81,52.154.171.88,52.154.173.21,40.89.244.137,52.154.173.79,52.154.173.101,52.154.173.180,52.154.174.243,52.154.175.58,52.154.240.147,52.154.240.170,52.154.241.97,52.154.241.132,52.154.241.246,52.154.43.251,52.154.44.21,52.154.44.95,20.40.202.5","1536","0",,,,,"ramfunctionappexample.azurewebsites.net",,"False",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/sites/RamFunctionAppExample","RamFunctionAppExample","functionapp","Central US","Microsoft.Web/sites","IT BSG SCM ","100.0000.99010.4310","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","scmdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001",,,,,,,"Running","","scmvisionapp-feedback-review","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/serverfarms/scmvisionplan001","True","False",,"6/16/2022 12:49:42 AM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.151.29.83,52.151.33.248","52.175.254.10,52.183.85.212,52.183.86.156,52.183.100.42,52.183.85.188,52.151.29.83,52.151.33.248","0","0",,,,,"scmvisionapp-feedback-review.azurewebsites.net",,"False",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/sites/scmvisionapp-feedback-review","scmvisionapp-feedback-review","app,linux","West US 2","Microsoft.Web/sites","IT BSG SCM ","100.0000.99010.4310","Development"
"61471429-89d6-4df8-b904-6688f7fe4605","SNBR_AZ_ITCore_DEV01","scmdevrgp001","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001",,,,,,,"Running","","scmvisionfunc-enhance","Normal","True","","Normal","","/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/serverfarms/WestUS2LinuxDynamicPlan","True","False",,"6/16/2022 12:49:42 AM","Microsoft.Azure.Management.WebSites.Models.SiteConfig",,"False",,,"False","False",,,"False","995CFBF0AF2853A14E9880D3A3DC2512A37801CFE86B4152900DE9AE093F1A0B","52.175.254.10,52.183.85.212,52.183.86.156,52.183.100.42,52.183.85.188","52.175.254.10,52.183.85.212,52.183.86.156,52.183.100.42,52.183.85.188,52.151.29.83,52.151.33.248","0","0",,,,,"scmvisionfunc-enhance.azurewebsites.net",,"False",,,,,,,,"/subscriptions/61471429-89d6-4df8-b904-6688f7fe4605/resourceGroups/scmdevrgp001/providers/Microsoft.Web/sites/scmvisionfunc-enhance","scmvisionfunc-enhance","functionapp,linux","West US 2","Microsoft.Web/sites","IT BSG SCM ","100.0000.99010.4310","Development"
